"appln_id","year","Latitude","Longitude","county","state"
407077643,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407125002,2012,43.649,-72.3193,"WINDSOR","VT"
407125866,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407134957,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407140723,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407141122,2012,42.8503,-72.5573,"WINDHAM","VT"
407142569,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407143401,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407232168,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407232168,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407340975,2012,43.6106,-73.1798,"RUTLAND","VT"
407344302,2012,44.4654,-72.6874,"LAMOILLE","VT"
407344907,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407345515,2012,43.6106,-73.1798,"RUTLAND","VT"
407346534,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407347194,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407422682,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407422682,2012,44.4914,-73.1857,"CHITTENDEN","VT"
407422682,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407422892,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407529446,2012,44.0153,-73.1673,"ADDISON","VT"
407533471,2012,43.6106,-72.9726,"RUTLAND","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535484,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407535759,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407583138,2012,43.649,-72.3193,"WINDSOR","VT"
407683116,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407683120,2012,44.467,-73.171,"CHITTENDEN","VT"
407683120,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407683146,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407683146,2012,44.3806,-73.2276,"CHITTENDEN","VT"
407684217,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407684217,2012,44.3806,-73.2276,"CHITTENDEN","VT"
407684217,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407691047,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407691424,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407693601,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408617079,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408617079,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408618103,2012,44.4689,-72.9724,"CHITTENDEN","VT"
408618105,2012,44.4689,-72.9724,"CHITTENDEN","VT"
408618153,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408618159,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408618225,2012,44.467,-73.171,"CHITTENDEN","VT"
408618225,2012,44.467,-73.171,"CHITTENDEN","VT"
408619217,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408619217,2012,44.3806,-73.2276,"CHITTENDEN","VT"
408621272,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408621678,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408621678,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408621678,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408621678,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408622992,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408625020,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408625109,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408626456,2012,44.467,-73.171,"CHITTENDEN","VT"
408629139,2012,42.9304,-73.2426,"BENNINGTON","VT"
408670882,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408670882,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408849867,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408851201,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408851267,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408851267,2012,44.3806,-73.2276,"CHITTENDEN","VT"
408851267,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408851920,2012,44.4759,-73.2121,"CHITTENDEN","VT"
408852340,2012,44.4905,-73.1112,"CHITTENDEN","VT"
408852340,2012,44.467,-73.171,"CHITTENDEN","VT"
