"state","year","county","precinct","total_votes","rep_votes","dem_votes"
"VT",2012,"RUTLAND","Rutland City (Rutland 5-2)",1837,1139,655
"VT",2012,"RUTLAND","Rutland City (Rutland 5-3)",1225,797,387
"VT",2012,"RUTLAND","Rutland City (Rutland 5-4)",1654,1073,542
"VT",2012,"RUTLAND","Rutland Town (Rutland 4)",2283,1211,1029
"VT",2012,"CALEDONIA-1","Ryegate (Caledonia-1)",556,342,201
"VT",2012,"FRANKLIN","Saint Albans City (Franklin 3-1)",2434,1593,752
"VT",2012,"FRANKLIN","Saint Albans Town (Franklin 3-1)",861,496,351
"VT",2012,"FRANKLIN","Saint Albans Town (Franklin 3-2)",1921,1096,796
"VT",2012,"CHITTENDEN","Saint George (Chittenden 5-2)",327,219,103
"VT",2012,"CALEDONIA-3","Saint Johnsbury (Caledonia-3)",2937,1789,1081
"VT",2012,"ADDISON","Salisbury (Addison 2)",540,356,171
"VT",2012,"BENNINGTON","Sandgate (Bennington 4 )",208,121,82
"VT",2012,"WINDHAM-BENNINGTON","Searsburg (Windham-Bennington",52,24,21
"VT",2012,"BENNINGTON","Shaftsbury (Bennington 3)",1866,1163,673
"VT",2012,"WINDSOR-ORANGE","Sharon (Windsor-Orange 2)",714,496,202
"VT",2012,"ORLEANS-CALEDONIA","Sheffield (Orleans-Caledonia )",286,182,93
"VT",2012,"CHITTENDEN","Shelburne (Chittenden 5-1)",2479,1759,679
"VT",2012,"CHITTENDEN","Shelburne (Chittenden 5-2)",2059,1317,724
"VT",2012,"FRANKLIN","Sheldon (Franklin 4)",778,476,283
"VT",2012,"ADDISON-RUTLAND","Shoreham (Addison-Rutland)",623,404,201
"VT",2012,"RUTLAND-WINDSOR","Shrewsbury (Rutland-Windsor 2)",651,383,248
"VT",2012,"CHITTENDEN","South Burlington (Chittenden 7-1)",2395,1650,698
"VT",2012,"CHITTENDEN","South Burlington (Chittenden 7-2)",2613,1720,851
"VT",2012,"CHITTENDEN","South Burlington (Chittenden 7-3)",2203,1636,522
"VT",2012,"CHITTENDEN","South Burlington (Chittenden 7-4)",2248,1507,677
"VT",2012,"GRAND ISLE-CHITTENDE","South Hero (Grand Isle-Chittende",1087,724,347
"VT",2012,"WINDSOR","Springfield (Windsor 3-1)",131,80,47
"VT",2012,"WINDSOR","Springfield (Windsor 3-2)",3651,2264,1295
"VT",2012,"WINDHAM-BENNINGTON","Stamford (Windham-Bennington)",468,274,176
"VT",2012,"CALEDONIA-2","Stannard (Caledonia-2)",94,68,19
"VT",2012,"ADDISON","Starksboro (Addison 4)",836,582,230
"VT",2012,"WINDSOR-RUTLAND","Stockbridge (Windsor-Rutland )",386,260,119
"VT",2012,"LAMOILLE","Stowe (Lamoille 1)",2660,1805,800
"VT",2012,"WINDSOR-ORANGE","Strafford (Windsor-Orange 2)",694,561,114
"VT",2012,"WINDHAM-BENNINGTON-W","Stratton (Windham-Bennington-W",143,73,70
"VT",2012,"RUTLAND","Sudbury (Rutland 6)",307,199,102
"VT",2012,"BENNINGTON","Sunderland (Bennington 3)",99,74,24
